traditional,simplified,pronunciation,audio,radical,definitions,pos
無了時,无了时,bô-liáu-sî,8599,,白費時間，永無終止。,熟
無事使,无事使,bô-sū-sái,8628,,喻沒有用、不中用。,熟
無人緣,无人缘,bô-lâng-iân,8600,,沒有人緣，不討人喜歡。,形
無仝,无仝,bô kāng,8611,,不一樣。,形
無代無誌,无代无志,bô-tāi-bô-tsì,8613,,沒事、沒怎樣。通常用在說人反應過度或做了多餘、不該做的事。,熟
無依無倚,无依无倚,bô-i-bô-uá,8629,,無依無靠。,熟
無偌久,无偌久,bô-guā-kú,8658,,不久、沒多久。,副
無傳,无传,bô-thn̂g,8675,,無子嗣。傳統觀念認為若沒有生下男孩就不算有後代，無法傳續家中的香火。,動
無半撇,无半撇,bô-puànn-phiat,8620,,一無用處、一竅不通。形容人沒有一點本事或能力。,形
無半步,无半步,bô-puànn-pōo,8616,,一無是處、一無所知、一竅不通。,形
無半絲,无半丝,bô-puànn-si,8618,,全無。一點兒也沒有，是加重語氣的用法。,形
無半項,无半项,bô-puànn-hāng,8619,,一樣東西都沒有。引申指人一無所知、一無是處、無能的樣子。,動
無去,无去,bô--khì,8614,,不見、消失。|去世、死了。,動|動
無去,无去,bô khì,8615,,沒有前往某處。,動
無可奈何,无可奈何,bû-khó-nāi-hô,8617,,不得已、沒有辦法怎麼樣。,熟
無品,无品,bô-phín,14380,,人格、人品卑劣。,形
無啥物,无啥物,bô-siánn-mih,8660,,沒什麼、沒關係。表示不在乎、無所謂的態度。,熟
無啥貨,无啥货,bô-siánn-huè/bô-siánn-hè,8662,,沒什麼。,熟
無塊,无块,bô-tè,14379,,後接動詞，表示無處可以…，或無法能夠…。,熟
無夠,无够,bô-kàu,14662,,不夠、不到，表示程度上的不足。,副
無夠月,无够月,bô-kàu-gue̍h/bô-kàu-ge̍h,8659,,早產。胎兒在子宮內發育月數不足，便因故出生。,動
無夠重,无够重,bô-kàu-tāng,8661,,不夠重、重量不足，也引申為看不起人。,形
無大無細,无大无细,bô-tuā-bô-sè/bô-tuā-bô-suè,8603,,沒大沒小、沒禮貌。,熟
無天理,无天理,bô thinn-lí,8607,,沒有天理。通常用在感嘆人事不公。,熟
無天良,无天良,bô-thian-liông,13780,,刻薄又沒良心。,熟
無奈,无奈,bô-nāi,8631,,不得已、無可奈何、沒有辦法。,熟
無奈何,无奈何,bô-ta-uâ,8632,,無可奈何、不得已。,熟
無定著,无定着,bô-tiānn-tio̍h,8633,,也許、說不定。|指小孩子不安定，無法安靜下來。,副|形
無尾巷,无尾巷,bô-bué-hāng/bô-bé-hāng,8625,,死巷、死胡同。只有一頭可以出入的巷子。,名
無局,无局,bô-kio̍k,14629,,無聊。|沒有趣味、乏味。|不划算。,形|名|名
無差,无差,bô-tsha,8652,,沒差別、無所謂、沒關係。,動
無底代,无底代,bô-tī-tāi,14547,,不相干。,熟
無張持,无张持,bô-tiunn-tî,8665,,突然、冷不防。形容情況發生急促且出人意料之外。|不小心。沒注意到。,副|副
無彩,无彩,bô-tshái,8663,,可惜。|徒然、枉然。|浪費。沒有節制、無益的耗費。,形|副|動
無彩工,无彩工,bô-tshái-kang,8664,,徒勞無功、白費工夫、枉費工夫。,形
無影,无影,bô-iánn,8692,,不真實的，沒有的事。,形
無影無跡,无影无迹,bô-iánn-bô-tsiah,8693,,子虛烏有、毫無根據。,熟
無彼號尻川，想欲食彼號瀉藥。,无彼号尻川，想欲食彼号泻药。,"Bô hit-lō kha-tshng, siūnn beh tsia̍h hit-lō sià-io̍h. ",60297,,比喻一個人自不量力。,
無心情,无心情,bô-sim-tsîng,8606,,沒心情。形容沒有心思、沒有情緒的樣子。,形
無心肝,无心肝,bô-sim-kuann,8605,,記憶力差。|沒有天良。,形|形
無情,无情,bô-tsîng,8666,,薄情。形容不講人情、不留情面的樣子。,形
無意中,无意中,bô-ì-tiong,8677,,意外、無意間。,副
無意無思,无意无思,bô-ì-bô-sù,8678,,不夠意思。通常用在說人對朋友沒義氣，或對他人的言行感到不滿。|無趣。,熟|形
無愛,无爱,bô ài,8676,,不要。,動
無所謂,无所谓,bû-sóo-uī,8635,,不要緊、沒關係。,熟
無才,无才,bô-tsâi,14378,,吊兒郎當。言行輕浮，儀態不端。|沒有才幹。,熟|熟
無打緊,无打紧,--bô-tánn-kín,8622,,不要緊、沒關係。通常用於表示還有更糟的事情。,熟
無拄好,无拄好,bô-tú-hó,8634,,不巧。,副
無捨施,无舍施,bô-siá-sì,13781,,難為情。|可憐。,熟|熟
無攬無拈,无揽无拈,bô-lám-bô-ne,8712,,無精打采、沒精神，提不起勁的樣子。|指人馬虎、隨便、沒有原則。,形|形
無日毋知晝，無鬚毋知老。,无日毋知昼，无须毋知老。,"Bô ji̍t m̄ tsai tàu, bô tshiu m̄ tsai lāu. ",60293,,比喻光陰易逝，很容易在不知不覺中荒廢。,
無暝無日,无暝无日,bô-mê-bô-ji̍t/bô-mî-bô-li̍t,8684,,沒日沒夜、夜以繼日。形容人對事情太投入，不管白天或晚上都不休息。,熟
無望,无望,bô-bāng,8667,,絕望。沒有希望。,動
無枷夯交椅。,无枷夯交椅。,Bô kê giâ kau-í. ,60298,,比喻自找麻煩。,
無某無猴,无某无猴,bô-bóo-bô-kâu,8643,,單身、沒有家累。指一個人沒有妻子兒女。,熟
無步,无步,bô-pōo,8626,,沒轍。沒辦法。,動
無毋著,无毋着,bô m̄-tio̍h,8608,,沒錯。,形
無毛雞假大格。,无毛鸡假大格。,Bô môo ke ké tuā-keh. ,60294,,比喻一個人明明沒有真材實料，卻打腫臉充胖子。,
無氣,无气,bô-khuì,8654,,沒氣。窒息、沒有呼吸。|上氣不接下氣。,形|形
無法伊,无法伊,bô-huat--i,8636,,拿他沒辦法、奈何不了他。,熟
無法度,无法度,bô-huat-tōo,8637,,沒辦法、沒能力。|表示無可奈何。,熟|熟
無法無天,无法无天,bû-huat-bû-thian,8638,,沒有法紀天理。形容人明目張膽，無所忌憚。,熟
無牛駛馬。,无牛驶马。,Bô gû sái-bé. ,60295,,比喻退而求其次，暫且代用。,
無疑,无疑,bô-gî,8685,,料想不到、不料。,副
無疑悟,无疑悟,bô-gî-ngōo,8686,,不料、想不到。,副
無的確,无的确,bô-tik-khak,8640,,說不定、不一定。,副
無盤,无盘,bô-puânn,13782,,不划算。,熟
無相干,无相干,bô-siong-kan,8645,,不相干、沒有關係。,形
無眠,无眠,bô-bîn,8655,,睡不好、睡不夠。,動
無礙著,无碍着,bô-gāi-tio̍h,8708,,無妨、無礙。沒有什麼差別，不會受到影響。語氣完結時唸作bô-gāi--tio̍h。,熟
無神,无神,bô-sîn,8656,,無精打采、沒精神。,形
無禁無忌，食百二。,无禁无忌，食百二。,"Bô kìm bô khī, tsia̍h pah-jī. ",60301,,比喻百無禁忌。,
無禮,无礼,bô-lé,8706,,形容人不懂禮數。,形
無空,无空,bô-khang,8639,,無利可圖、沒有好處。|沒道理。無意義、不合情理的。,形|形
無米有舂臼，無囝抱新婦。,无米有舂臼，无囝抱新妇。,"Bô bí ū tsing-khū, bô kiánn phō sin-pū. ",60296,,比喻一個人不務實，不切實際。,
無精差,无精差,bô-tsing-tsha,8687,,沒差、沒差別。不多不少、剛剛好。,形
無細膩,无细腻,bô-sè-jī/bô-suè-lī,8669,,不小心。|不客氣。 ,動|動
無線電,无线电,bô-suànn-tiān,8694,,訊號不經由導線傳遞，而是以電磁波的形式發射至空中，再接收而得的一種通訊方式。,名
無聲無說,无声无说,bô-siann-bô-sueh/bô-siann-bô-seh,8704,,形容寂靜沒有一點聲音的狀態。,熟
無膽,无胆,bô-tánn,8703,,膽小。形容人膽子小、膽量不大。,形
無良心,无良心,bô-liông-sim,8627,,昧著良心、沒良心。,熟
無要無緊,无要无紧,bô-iàu-bô-kín,8647,,無所謂、無關緊要。形容人做事懶散、不用心，沒什麼責任感。,熟
無要緊,无要紧,bô iàu-kín,8648,,不要緊、沒關係。,熟
無論,无论,bô-lūn,8695,,不論、不管。,連
無講無呾,无讲无呾,bô-kóng-bô-tànn,8705,,不言不語、不動聲色、不聲不響。形容人不出聲音或無預警地就做出動作反應。,熟
無議量,无议量,bô-gī-niū,8710,,無聊、乏味、沒事可做。,形
無路,无路,bô-lōo,8680,,沒有路、無路可通。|沒有辦法。|不喜歡。,形|形|形
無路來,无路来,bô-lōo-lâi,8682,,沒有辦法，不知道該如何去做、去說。,形
無路用,无路用,bô-lōo-īng,8681,,沒有用、不中用。,動
無較縒,无较縒,bô-khah-tsua̍h,8683,,沒有用。,形
無辜,无辜,bû-koo,8672,,無罪的、清白的。,形
無通,无通,bô-thong,8670,,不可行、不妥切。,形
無通生食，哪有通曝乾。,无通生食，哪有通曝干。,"Bô thang tshinn tsia̍h, ná ū thang pha̍k-kuann. ",60299,,比喻數量不足，不可能有多餘的留下來。,
無量,无量,bô-liōng,8673,,小氣。沒有度量，吝嗇，不大方。,形
無銷,无销,bô-siau,8696,,銷路不好。|形容人不喜歡某一種東西。,形|形
無錯,无错,bô-tshò,8698,,沒錯。,熟
無閒,无闲,bô-îng,8674,,忙碌、忙著。|沒空、忙碌。,動|形
無限,无限,bû-hān,8646,,形容沒有窮盡、沒有限度的樣子。,形
無頭神,无头神,bô-thâu-sîn,8700,,健忘、沒記性。,形
無魚，蝦嘛好。,无鱼，虾嘛好。,"Bô hî, hê mā hó. ",60300,,比喻退而求其次。,
無鹹無纖,无咸无纤,bô-kiâm-bô-siam,8711,,形容食物淡而無味，過於清淡。,形
焦,焦,ta,8590,火,形容物體乾燥，沒有水分。,形
焦料,焦料,ta-liāu,8653,,指乾性食品，如魷魚、香菇、木耳等。,名
焦洗,焦洗,ta-sé/ta-sué,8644,,乾洗。用揮發油劑擦洗衣物，和水洗方式不同。|身上的財物全部被奪走。,動|動
焦涸涸,焦涸涸,ta-khok-khok,8668,,乾涸。形容非常的乾。,形
焦燥,焦燥,ta-sò,8702,,乾燥。缺乏水分的。,形
焦鬆,焦松,ta-sang,8707,,乾爽。乾燥清爽，讓人感覺舒服。,形
然後,然后,jiân-āu/liân-āu,8641,,之後。比較文言的說法。,連
煎,煎,tsian,9717,火,用少量的油乾煮食物。|用煎的方法煮熟的食物。,動|名
煎,煎,tsuann,9718,火,熬煮、燒煮。,動
煎匙,煎匙,tsian-sî,9737,,鍋鏟。炒菜用的鏟子，烹調的時候用來攪動食物。,名
煎粿,煎粿,tsian-kué/tsian-ké,14437,,煎粿、煎年糕。將蘿蔔糕或油蔥粿切片之後用油來煎的食物。,名
煎茶,煎茶,tsuann-tê,9736,,沏茶。,動
煎藥仔,煎药仔,tsuann-io̍h-á,9745,,以水煮藥。,動
煏,煏,piak,9719,火,裂開、斷裂、迸裂。指物體因受熱、拉扯或數量過多等因素，膨脹起來超過限度而爆裂。|用火炸出油或香味。,動|動
煏桌,煏桌,piak-toh,9734,,宴客時，來的客人超過預期，以致請客的桌數不夠坐。,動
煏油,煏油,piak-iû,9731,,將油脂放入鍋中把油炸出來。,動
煏空,煏空,piak-khang,9732,,事情敗露，東窗事發。,動
煙,烟,ian,9720,火,燃燒時冒出的氣體。,名
煙仔魚,烟仔鱼,ian-á-hî/ian-á-hû,9728,,正鰹、圓花鰹。魚名。鰹魚的一種，體型為紡錘形，長約50公分左右，分佈於臺灣東部或東南海域，可做成柴魚。,名
煙暈,烟晕,ian-n̄g,13812,,眼花。|目暈。,形|名
煙火,烟火,ian-hué/ian-hé,9727,,一種用火硝夾雜其他藥物製成的物品，燃燒時噴射出各種變幻燦爛的形狀，可供遊戲觀賞。,名
煙筒,烟筒,ian-tâng,9738,,煙囪。爐灶或工廠鍋爐用以排煙的長管。,名
煙筒管,烟筒管,ian-tâng-kóng,14438,,排氣管。汽、機車的排氣管。|煙囪。,名|名
煙腸,烟肠,ian-tshiâng,9741,,香腸。用碎肉、香料等填入豬腸製成的食品。,名
煙黗,烟黗,ian-thûn,9743,,煙垢。由煙氣凝結而成的汙垢。,名
煞,煞,suah,9721,火,結束、停止。|罷休、放手。|怎麼、哪有。表反詰語氣。|竟然，表意外的意思。|抑制、阻止。|為凶神所傷。|凶神。,動|動|代|副|動|動|名
煞,煞,sannh,9722,火,岔氣。激烈運動後，氣凝在胸口，造成呼吸困難。|心理受到強烈衝擊，或渴望、迷戀某些事物。|被風迎面掃到而感到氣息不順。,動|動|動
煞去,煞去,suah--khì,9729,,放過不論、不再計較。,動
煞尾,煞尾,suah-bué/suah-bé,9730,,末尾、最後。|收尾、終止。,形|動
煞尾仔囝,煞尾仔囝,suah-bué-á-kiánn/suah-bé-á-kiánn,13813,,老么。么兒。排行最小的孩子。見【尾仔囝】bué-á-kiánn 條。,
煞心,煞心,sannh-sim,9726,,渴望、盼望。心中有所期盼，心裡受到強烈的刺激而對某人或某物非常想得到。,動
煞戲,煞戏,suah-hì,9744,,劇終。戲劇終了。引申為一切事物的結束。,動
煞煞去,煞煞去,suah-suah--khì,14439,,罷了。就這樣算了，不要再計較了。,動
煞神,煞神,suah-sîn,9735,,凶神。會招來不幸的凶惡神靈。,名
煞著,煞着,suah--tio̍h,9739,,犯煞、相沖。,動
煞鼓,煞鼓,suah-kóo,9742,,劇終。戲劇終了。用以引申事情或活動結束。,動
煠,煠,sa̍h,9723,火,以白水煮。把食物放入滾水、不加其他佐料的一種烹飪法。,動
煡,煡,khi̍t,9724,火,邊煮邊攪，把東西煮成糊狀。,動
照,照,tsiàu,9746,火,依照、按照。|憑證。,動|名
照,照,tsiò,9747,火,承受光線的映射或反射。,動
照呼照行,照呼照行,tsiàu-hoo-tsiàu-kiânn,9754,,依約行事。依照之前說好的來進行。,熟
照實,照实,tsiàu-si̍t,9758,,按照實際情形。,副
照常,照常,tsiàu-siông,9756,,跟往常一樣、跟原先一樣，沒有任何改變。,副
照步來,照步来,tsiàu-pōo-lâi,9753,,按部就班。照一定的條理順序處理事情。,熟
照講,照讲,tsiàu-kóng,9760,,照說。按照常理來說。,動
照起工,照起工,tsiàu-khí-kang,9755,,按部就班，照規矩制度來行事。,副
照辦,照办,tsiàu-pān,9759,,遵照辦理。,動
照鏡,照镜,tsiò-kiànn,9761,,照鏡子。|引申為檢討、反省。,動|動
照電光,照电光,tsiò-tiān-kong,13814,,照X光、拍X光片。,動
照顧,照顾,tsiàu-kòo,9762,,照料、看顧、幫助。,動
煨,煨,ue,9748,火,燉煮、熬煮。以小火慢慢熬煮食物。,動
煩,烦,huân,9749,火,煩躁。,形
煩惱,烦恼,huân-ló,9757,,煩悶，不快活。,動
煮,煮,tsú,8591,火,烹調。烹飪、調理食物。,動
煮食,煮食,tsú-tsia̍h,8649,,煮飯、烹飪。,動
煮食裙仔,煮食裙仔,tsú-tsia̍h-kûn-á,8650,,圍裙。煮飯時圍在身上防止弄髒衣服的掛布。,名
煽動,煽动,siàn-tōng,10660,,慫恿、唆使。,動
熁,熁,hannh,10646,火,被熱氣燙到。|利用陽光或火等熱氣烘晒、加熱。|天氣炎熱，熱氣逼人。,動|動|形
熄,熄,sit,10647,火,火或燈滅掉。,動
熊,熊,hîm,10678,火,哺乳動物。四肢粗壯，身形龐大，全身覆濃毛，能爬樹，雜食性，多生於寒帶。,名
熊膽,熊胆,hîm-tánn,10688,,熊的膽，是一種中藥藥材，現在因生態保育，已經禁止販售。,名
熔,熔,iûnn,10679,火,用高溫使金屬或固體物質變為液體狀態。,動
熗,炝,tshìng,10680,火,一種烹飪方式。以少量的水半蒸半煮將食物蒸熟。,動
熟,熟,si̍k,11221,火,經烹煮爛透的。|經過加工煉製的。|常見的、認識的。|指農作物或蔬果已經長成到可以收成的程度。,形|形|形|動
熟似,熟似,si̍k-sāi,11228,,熟識。素來認識。,動
熟似人,熟似人,si̍k-sāi-lâng,11229,,熟人。認識、熟識的人。,名
熟手,熟手,si̍k-tshiú,11225,,對於某種事物專精熟練的人。,名
熟鐵,熟铁,si̍k-thih,11236,,鍛鐵。經過冶鍊以減少含碳量的鐵。,名
熥,熥,thn̄g,11222,火,食物涼了之後再次加熱。|引申指重提舊事。,動|動
熨,熨,ut,11223,火,藉熱力把衣物壓平。,動
熨斗,熨斗,ut-táu,11226,,藉熱力燙平衣料的金屬器具。,名
熨金,熨金,ut-kim,11230,,一種印刷加工方法。將金箔放於預定位置，再將刻有圖案、文字等金屬印版熱加壓，把金箔燙上。通常用於精裝書封面或賀卡等。,名
熬,熬,gô,11224,火,用小火慢慢烹煮食物。,動
熱,热,jia̍t/lia̍t,11237,火,溫度高的。|形容人因為攝取燥性食物而引起體內虛火上升。|形容人際關係的交流熱絡。,形|形|形
熱,热,jua̍h/lua̍h,11238,火,因為大氣溫度高於人體體溫而產生的感覺。,形
熱人,热人,jua̍h--lâng/lua̍h--lâng,11245,,夏天。一年四季中的第二季。,名
熱嗽,热嗽,jia̍t-sàu/lia̍t-sàu,11267,,熱咳。一般人認為咳嗽無痰即為熱咳。通常熱咳者會口乾、喉癢、痰少，但痰黃且濃稠，嚴重時還會呈現黃綠色。,名
熱天,热天,jua̍h-thinn/lua̍h-thinn,11246,,夏天。一年四季中的第二個季節，一般而言氣候較熱。,名
熱帶,热带,jia̍t-tài/lia̍t-tài,11260,,地球表面位在赤道與南北回歸線之間的地帶。此地帶受到太陽照射能量最多，全年溫度高且變化不大。,名
熱心,热心,jia̍t-sim/lia̍t-sim,11247,,形容人做事積極或富有同情心。,形
熱毒,热毒,jia̍t-to̍k/lia̍t-to̍k,11258,,中醫認為人體內因火氣大所引起生瘡發病的現象。,名
熱著,热着,jua̍h--tio̍h/lua̍h--tio̍h,11265,,中暑。曝露於太陽底下所引起的病症，出現痙攣、昏睡、體溫升高等症狀。,名
燃,燃,hiânn,11803,火,點燃、焚燒。,動
燃柴,燃柴,hiânn-tshâ,11825,,以柴為燃料燒火。,動
燃水,燃水,hiânn-tsuí,14530,,燒水。,動
燃火,燃火,hiânn-hué/hiânn-hé,11815,,起火、生火。,動
燈,灯,ting,11804,火,照明或作為他用的發光器具。,名
燈仔花,灯仔花,ting-á-hue,14531,,朱槿、燈籠花。一種灌木，常用來做圍籬，花朵也是兒童辦家家酒的玩具。,名
燈塔,灯塔,ting-thah,11834,,設置在海岸港口或者小島上的高塔，夜晚能發出定時明滅的強烈燈光，指引船隻航行方向，避免海難事件的發生。,名
燈座,灯座,ting-tsō,11824,,檯燈或立燈的底座。,名
燈心,灯心,ting-sim,11813,,油燈或酒精燈等用來點火的部分。通常用紗、線或燈心草的莖做成。,名
燈火,灯火,ting-hué/ting-hé,11816,,燈光。|指油燈。,名|名
燈猜,灯猜,ting-tshai,11830,,燈謎。是元宵節或中秋節時的傳統活動之一，通常將謎語黏貼在花燈、牆壁上或是掛在繩子上供人猜射。,名
燉,炖,tūn,11805,火,將食物加水，用文火慢煮使爛熟。,動
燒,烧,sio,11806,火,使東西著火。|溫暖。|溫度高。|中傷、挑撥離間。,動|形|形|動
燒唿唿,烧唿唿,sio-hut-hut,14533,,熱呼呼、熱騰騰。,形
燒水,烧水,sio-tsuí,11814,,熱水。溫度高的水。,名
燒滾滾,烧滚滚,sio-kún-kún,11835,,熱騰騰。,形
燒烘烘,烧烘烘,sio-hōng-hōng,14532,,溫度很高、很悶熱，或由於炎症、發燒造成的身體熱度很高。,形
燒烙,烧烙,sio-lō,11826,,溫暖、暖和。,形
燒熱,烧热,sio-jua̍h/sio-lua̍h,11837,,溫暖。|極為炎熱的。|指發燒。|因嫉妒或焦急而使得心裡有不舒服的感覺。|因高溫灼燒、鞭打或傷口發炎時所產生的灼熱感。,形|形|形|形|形
燒瓷的食缺，織蓆的睏椅。,烧瓷的食缺，织席的困椅。,"Sio-huî--ê tsia̍h khih, tsit-tshio̍h--ê khùn í. ",60351,,比喻商人為了賺錢，捨不得用自己製造的好產品，而使用較無價值的瑕疵品。,
燒肉,烧肉,sio-bah,11820,,先油炸再以湯汁燒煮而成的肉。,名
燒著,烧着,sio-tio̍h,11831,,燙到。被火燙到。語氣完結時唸作sio--tio̍h。,動
燒酒,烧酒,sio-tsiú,11827,,酒。,名
燒酒螺,烧酒螺,sio-tsiú-lê,11828,,軟體動物。一種體型很小的螺。經常以醬油、酒、辣椒等材料醃製，在臺灣的許多觀光景點常有攤販販售，因大量捕撈，臺灣原產的燒酒螺已日漸稀少。,名
燒酒雞,烧酒鸡,sio-tsiú-ke/sio-tsiú-kue,11829,,將雞肉放入加有藥膳的米酒中燉煮而成，能促進新陳代謝、消化吸收及血液循環，是冬天活血暖身、舒筋養骨、溫補虛寒的最佳食補。,名
燒金,烧金,sio-kim,11822,,燒紙錢。祭拜之後將供奉的紙錢拿去焚燒，獻給鬼神。一般分燒金紙與燒銀紙；前者祭拜神明，稱為燒金；後者獻給鬼魂，稱燒銀紙。,動
燒香,烧香,sio-hiunn,11823,,燃香禮拜神佛。是佛教、道教以及民間傳統信仰的祭祀禮儀。,動
燕,燕,ìnn,11807,火,禽鳥類。各種燕科的通稱，種類繁多，體型小，飛行能力很強，尾端分叉成剪刀狀，背黑腹白。,名
燕仔,燕仔,ìnn-á,11817,,燕子。,名
燕窩,燕窝,iàn-o,11836,,金絲燕或同屬雨燕科的燕類以唾液吐出來築的窩巢。含有豐富的膠質、蛋白質、糖等，在中醫上是上等的補品，價格昂貴。,名
燖,燖,tīm,11808,火,將食物放入密閉的烹具裡蒸煮。,動
燖補,燖补,tīm-póo,14534,,燉補。用文火慢煮藥材、食物等補品進補。,熟
燖鍋,燖锅,tīm-ue/tīm-e,11839,,燉鍋。,名
燙,烫,thǹg,11809,火,一種烹調方法。將材料在滾水中快煮後撈出。|被高熱的東西或火所傷。,動|動
燜,焖,būn,11810,火,一種烹飪的方法，將食物置於容器中，放水在外鍋，加封蓋後以慢火悶煮。,動
燜飯,焖饭,būn-pn̄g,11833,,以慢火來燜將煮熟的飯。,動
營,营,iânn,12241,火,軍隊駐紮的地方。|活動聚集的場所。|計算編制單位。,名|名|量
營,营,îng,12242,火,管理。,動
營業,营业,îng-gia̍p,12253,,以營利為目的的事業，通常指經商或是做生意。,動
營養,营养,îng-ióng,12255,,養分。,名
燥,燥,sò,12243,火,中醫用語，稱食物或藥物具有熱、烈的性質。,形
燥水,燥水,sò-tsuí,12248,,缺乏水分、水分蒸發。,動
燦爛,灿烂,tshàn-lān,12260,,光彩美麗。,形
燭,烛,tsik,12244,火,以油蠟製成，能點火照明之物。|計算光度的單位。,名|量
燭,烛,tsiok,12245,火,釋義參見【燭】tsik 條。,
燭台,烛台,tsik-tâi,12250,,用來插蠟蠋的器具，多用銅錫等製成。,名
爁,爁,nah,12546,火,讓太陽或火舌曬一下、燒一下。|火光或雷電閃爍。,動|動
爁日,爁日,nah-ji̍t/nah-li̍t,12548,,稍微晒一點兒太陽。,動
爆炸,爆炸,po̍k-tsà,12835,,物體體積發生急速膨脹，使周圍氣壓產生強烈變化而炸破，發出巨大的聲響。,動
爍,烁,sih,12830,火,閃爍。火光閃動。,動
爍爁,烁爁,sih-nah,12838,,閃電。,名
爐,炉,lôo,13004,火,可供烹飪或取暖的設備。|火鍋。|放香火的器具。,名|名|名
爐丹,炉丹,lôo-tan,13009,,香灰。燒香之後殘餘在香爐中的灰燼。,名
爐主,炉主,lôo-tsú,13012,,主辦祭祀典禮的人。,名
爛,烂,nuā,13126,火,腐爛。|食物烹煮至熟軟。|潰瘍、潰爛。,動|形|動
爛塗,烂涂,nuā-thôo,13139,,爛泥巴。,名
爛塗糜,烂涂糜,nuā-thôo-muê/nuā-thôo-bê,13140,,爛泥漿。淤積混濁的泥漿。,名
爛塗袂糊得壁。,烂涂袂糊得壁。,Nuā thôo bē kôo tit piah. ,60385,,指人或東西沒有用，派不上用場。,
爛癬,烂癣,nuā-sián,13147,,溼疹、皮膚炎。皮膚因磨擦、日晒、冷熱等原因導致的炎症。患者皮膚會發紅、腫大、疹塊、流水、有痂皮、或鱗片等症狀。,名
爛糊糊,烂糊糊,nuā-kôo-kôo,13144,,形容非常稀爛。,形
爛𤶃仔,烂𤶃仔,nuā-thiāu-á,14593,,發炎紅腫，甚至有膿包的青春痘。,名
爪,爪,jiáu/niáu,1222,爪,禽獸的腳爪。|也貶稱人的手腳。,名|名
爪仔,爪仔,jiáu-á/niáu-á,1233,,竹製或鐵製的耙草爪形農具。|爪子。,名|名
爬,爬,pê,4337,爪,昆蟲、爬蟲類動物等往前移動；或人用手足伏地行走。,動
爭,争,tsenn/tsinn,4338,爪,奪取、互不相讓。 ,動
爭論,争论,tsing-lūn,4382,,爭相辯論，不肯退讓。,動
父,父,hū,1223,父,爹、爸。稱謂。是較文言的說法。,名
父兄,父兄,hū-hing,1234,,父親和兄長。|對同一家族中男性長輩的通稱。,名|名
父母,父母,hū-bió,1237,,見【爸母】pē-bú 條。,
父老,父老,hū-ló,1246,,對年長者的敬稱。,名
爸,爸,pâ,4339,父,爸、爹。稱謂。子女對父親當面的稱呼。,名
爸,爸,pē,4340,父,父、爹。稱謂。子女提到父親的表述。,名
爸仔囝,爸仔囝,pē-á-kiánn,14650,,父子。父親與兒子。,名
爸母,爸母,pē-bú,4354,,父母。稱謂。父親與母親。,名
爸母疼囝長流水，囝疼爸母樹尾風。,爸母疼囝长流水，囝疼爸母树尾风。,"Pē-bú thiànn kiánn tn̂g lâu-tsuí, kiánn thiànn pē-bú tshiū-bué hong. ",60190,,形容父母對子女的愛，像綿綿不絕的流水，而子女對父母的孝敬，像樹梢的風，有一陣沒一陣的。,
爸老囝幼,爸老囝幼,pē-lāu-kiánn-iù,4361,,父親年事已高，兒子年紀尚小，彼此雙方年歲相差甚大。,熟
爹,爹,tia,6250,父,爸爸、父親。稱謂。,名
爺,爷,iâ,9750,父,尊稱。可用來敬稱神明或者尊貴有權勢的人。,名
爽,爽,sóng,7593,爻,心中感到痛快舒暢。,形
爽快,爽快,sóng-khuài,7615,,開心、愉快、心情好。|身體舒適、神清氣爽。|乾脆、率直。,形|形|形
爽歪歪,爽歪歪,sóng-uainn-uainn,14333,,樂壞了。,形
爾爾,尔尔,niā-niā,10687,,而已。,助
爿,爿,pîng,1224,爿,邊、旁。表示所在位置。|片。整體中的一部分，被切開後呈片狀的部分。|計算片狀的東西。|漢字的部首偏旁。,副|名|量|名
牆,墙,tshiûnn,12246,爿,以磚、水泥、木板或其他建材砌成，用以遮蔽或隔間的建築物。,名
牆仔,墙仔,tshiûnn-á,12249,,圍牆。頂端無蓋，不能擋風雨，只做為分界的牆。,名
牆圍,墙围,tshiûnn-uî,12252,,圍牆。,名
片,片,phìnn,1225,片,又平又薄成片狀的物品。|計算片狀物品的單位。|習性、個性、脾氣。,名|量|名
版,版,pán,4341,片,印刷所用的版本樣式，上面已有拼組或刻鑄著既定的文字或圖形。|報紙或雜誌的單面。|計算書本出版次數的單位。|書籍版本的稱簡。,名|名|量|名
牌,牌,pâi,8592,片,揭示板或標誌。|麻將牌或紙牌。,名|名
牌仔,牌仔,pâi-á,8612,,指賭具或娛樂的用品，如紙牌、骨牌。|總稱有標示功能的牌子。如貨品貼、結貨牌或價牌等。,名|名
牌子,牌子,pâi-tsú,8601,,商標。商品的廠牌標記。,名
牌照,牌照,pâi-tsiàu,8679,,執照。政府機關所發的許可證明書。,名
牙,牙,gâ,1226,牙,螺絲紋。|人名。,名|名
牙,牙,gê,1227,牙,人和動物口腔內咀嚼研磨的器官。|一種民間習俗。商家在農曆每月初二、十六日備牲禮祭拜土地公和孤魂野鬼等，祈求生意興隆，稱為做牙。,名|名
牙槽,牙槽,gê-tsô,1287,,齒槽。包圍牙根，使牙根嵌入的凸凹腔。,名
牙槽骨,牙槽骨,gê-tsô-kut,1288,,下顎骨。顎骨的一部分，能夠作開閉運動，發揮咀嚼功能。,名
牚,牚,thènn,8593,牙,支撐物品，使其不掉下來。,動
牚懸,牚悬,thènn-kuân,8709,,把東西撐高。,動
